appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
545340,Companion,Narrator,Sekai Project,,65,6,0,"0 .. 20,000",0,0,0,0,249,999,75,0
459640,You... and who else?,Aldorlea Games,Aldorlea Games,,15,7,0,"0 .. 20,000",232,0,358,0,699,699,0,0
586320,UFO - Unfortunately Fortunate Organisms,Rebourne Studios,Back To Basics Gaming,,23,3,0,"0 .. 20,000",0,0,0,0,99,99,0,1
612310,GORB,Jon Gallant,jgallant,,27,2,0,"0 .. 20,000",0,0,0,0,99,99,0,0
612150,Conran - The dinky Raccoon,Nifty Productions,Nifty Productions,,6,3,0,"0 .. 20,000",0,0,0,0,499,499,0,0
532170,WaveLand,rologfos,rologfos,,58,6,0,"0 .. 20,000",0,0,0,0,499,499,0,0
501350,Dimension Hunter VR,Pocket Money Games,Pocket Money Games,,77,19,0,"0 .. 20,000",0,0,0,0,99,99,0,0
606950,Army General,Phobetor,Plug In Digital,,26,21,0,"0 .. 20,000",233,0,233,0,1499,1499,0,0
528260,TITAN SLAYER,"COLOPL, Inc.","COLOPL, Inc.",,65,17,0,"0 .. 20,000",101,0,101,0,1299,1299,0,0
582260,Extreme-G 2,Acclaim Cheltenham,Throwback Entertainment,,51,38,0,"0 .. 20,000",0,0,0,0,599,599,0,0
589470,Myrne: The Quest,Beldarak Games,Beldarak Games,,22,4,0,"0 .. 20,000",0,0,0,0,599,599,0,0
597040,Dumbass Drivers!,MJ Lovegrove,Screen 7,,19,23,0,"0 .. 20,000",218,0,218,0,99,99,0,0
619480,"Rock, Ken, Bo",Xelphyre Games,Xelphyre Games,,2,1,0,"0 .. 20,000",0,0,0,0,399,399,0,0
626580,Spellspire,10tons Ltd,10tons Ltd,,65,23,0,"0 .. 20,000",83,0,83,0,999,999,0,0
596950,Rat Simulator,Visualnoveler,Visualnoveler,,78,31,0,"0 .. 20,000",0,0,0,0,799,799,0,0
436070,Nadia Was Here,Jajaben Games,Indietopia Games,,33,4,0,"0 .. 20,000",0,0,0,0,1199,1199,0,1
537540,The Last Journey,Sleepless Clinic,IMGN.PRO,,17,24,0,"0 .. 20,000",5,0,5,0,0,0,0,0
550740,Battles of the Valiant Universe CCG,Silent Legends,Silent Legends,,14,16,0,"0 .. 20,000",0,0,0,0,0,0,0,0
338350,Farm World,b-alive gmbh,b-alive gmbh,,5,11,0,"0 .. 20,000",0,0,0,0,599,599,0,0
527320,Defend the Highlands: World Tour,Kilted Camel,KISS ltd,,17,2,0,"0 .. 20,000",0,0,0,0,999,999,0,0
633580,Neighbourhood Necromancer,Choice of Games,Choice of Games,,12,4,0,"0 .. 20,000",0,0,0,0,399,399,0,0
625940,Tomato Jones 2,HA Studio Ltd.,HA Studio Ltd.,,37,12,0,"0 .. 20,000",0,0,0,0,199,199,0,0
